team1,team2,venue,toss_winner,toss_decision,team1_wins,team1_losses,team2_wins,team2_losses,h2h_team1_wins,h2h_team2_wins,team1_form,team2_form,home_team,winner
Lucknow Super Giants,Gujarat Titans,M. A. Chidambaram Stadium,Lucknow Super Giants,bat,60,40,50,50,6,4,3,1,Lucknow Super Giants,Lucknow Super Giants
Punjab Kings,Delhi Capitals,Arun Jaitley Stadium,Punjab Kings,field,58,42,76,24,7,3,4,5,Delhi Capitals,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,Sunrisers Hyderabad,field,44,56,56,44,6,4,1,2,Sunrisers Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,bat,54,46,66,34,5,5,1,3,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Gujarat Titans,Wankhede Stadium,Chennai Super Kings,field,47,53,58,42,5,5,3,5,Chennai Super Kings,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,bat,55,45,51,49,4,6,1,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,field,44,56,48,52,3,7,4,3,Chennai Super Kings,Chennai Super Kings
Gujarat Titans,Chennai Super Kings,M. A. Chidambaram Stadium,Gujarat Titans,bat,58,42,77,23,4,6,1,2,Gujarat Titans,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,66,34,68,32,7,3,1,1,Mumbai Indians,Mumbai Indians
Lucknow Super Giants,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,field,75,25,47,53,6,4,4,2,Chennai Super Kings,Lucknow Super Giants
Mumbai Indians,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai Super Kings,bat,70,30,53,47,4,6,2,2,Mumbai Indians,Mumbai Indians
Lucknow Super Giants,Royal Challengers Bangalore,Wankhede Stadium,Lucknow Super Giants,field,47,53,45,55,7,3,4,1,Royal Challengers Bangalore,Lucknow Super Giants
Sunrisers Hyderabad,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,field,76,24,56,44,4,6,2,5,Delhi Capitals,Delhi Capitals
Punjab Kings,Chennai Super Kings,Rajiv Gandhi International Stadium,Punjab Kings,bat,43,57,64,36,3,7,5,4,Punjab Kings,Chennai Super Kings
Lucknow Super Giants,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai Super Kings,field,74,26,46,54,3,7,5,2,Lucknow Super Giants,Lucknow Super Giants
Chennai Super Kings,Delhi Capitals,M. Chinnaswamy Stadium,Chennai Super Kings,field,48,52,63,37,6,4,2,3,Delhi Capitals,Delhi Capitals
Chennai Super Kings,Delhi Capitals,M. Chinnaswamy Stadium,Chennai Super Kings,bat,49,51,49,51,7,3,5,2,Delhi Capitals,Chennai Super Kings
Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,65,35,77,23,3,7,4,4,Lucknow Super Giants,Lucknow Super Giants
Delhi Capitals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,64,36,72,28,4,6,4,1,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,42,58,68,32,3,7,5,2,Delhi Capitals,Chennai Super Kings
Punjab Kings,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,field,56,44,65,35,6,4,2,1,Punjab Kings,Punjab Kings
Chennai Super Kings,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,field,63,37,70,30,3,7,2,2,Punjab Kings,Punjab Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,61,39,57,43,4,6,5,3,Kolkata Knight Riders,Kolkata Knight Riders
Gujarat Titans,Punjab Kings,Rajiv Gandhi International Stadium,Punjab Kings,bat,55,45,43,57,5,5,4,3,Gujarat Titans,Punjab Kings
Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Mumbai Indians,bat,73,27,56,44,5,5,3,5,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,61,39,68,32,6,4,1,5,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Gujarat Titans,M. Chinnaswamy Stadium,Mumbai Indians,bat,68,32,42,58,6,4,5,5,Gujarat Titans,Mumbai Indians
Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,Kolkata Knight Riders,bat,78,22,66,34,4,6,1,2,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Gujarat Titans,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,field,50,50,44,56,4,6,1,1,Gujarat Titans,Gujarat Titans
Lucknow Super Giants,Mumbai Indians,Eden Gardens,Lucknow Super Giants,field,46,54,46,54,4,6,5,5,Lucknow Super Giants,Mumbai Indians
Rajasthan Royals,Delhi Capitals,Rajiv Gandhi International Stadium,Delhi Capitals,bat,74,26,76,24,3,7,3,3,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Punjab Kings,M. Chinnaswamy Stadium,Punjab Kings,field,62,38,44,56,7,3,1,1,Rajasthan Royals,Rajasthan Royals
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,43,57,67,33,6,4,3,4,Kolkata Knight Riders,Chennai Super Kings
Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,55,45,61,39,7,3,5,1,Gujarat Titans,Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,Eden Gardens,Punjab Kings,bat,77,23,40,60,3,7,3,4,Punjab Kings,Punjab Kings
Kolkata Knight Riders,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,68,32,48,52,7,3,4,4,Royal Challengers Bangalore,Kolkata Knight Riders
Lucknow Super Giants,Sunrisers Hyderabad,Eden Gardens,Lucknow Super Giants,field,74,26,79,21,4,6,1,2,Sunrisers Hyderabad,Lucknow Super Giants
Chennai Super Kings,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,79,21,52,48,5,5,3,4,Rajasthan Royals,Rajasthan Royals
Lucknow Super Giants,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants,bat,55,45,58,42,5,5,2,4,Lucknow Super Giants,Lucknow Super Giants
Sunrisers Hyderabad,Chennai Super Kings,Arun Jaitley Stadium,Sunrisers Hyderabad,field,72,28,58,42,7,3,3,2,Chennai Super Kings,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,bat,63,37,57,43,4,6,1,1,Mumbai Indians,Mumbai Indians
Gujarat Titans,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Gujarat Titans,bat,66,34,51,49,5,5,3,2,Gujarat Titans,Gujarat Titans
Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi International Stadium,Kolkata Knight Riders,bat,59,41,58,42,6,4,3,2,Delhi Capitals,Kolkata Knight Riders
Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,bat,65,35,64,36,4,6,5,3,Rajasthan Royals,Rajasthan Royals
Sunrisers Hyderabad,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,48,52,75,25,5,5,1,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,bat,64,36,67,33,6,4,5,3,Rajasthan Royals,Rajasthan Royals
Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,Punjab Kings,bat,71,29,72,28,3,7,5,3,Rajasthan Royals,Punjab Kings
Sunrisers Hyderabad,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,52,48,42,58,4,6,1,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,60,40,41,59,7,3,2,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,bat,52,48,43,57,7,3,3,4,Sunrisers Hyderabad,Mumbai Indians
Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,field,60,40,46,54,5,5,5,4,Royal Challengers Bangalore,Royal Challengers Bangalore
Punjab Kings,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,71,29,44,56,6,4,2,1,Punjab Kings,Punjab Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Kolkata Knight Riders,field,42,58,69,31,3,7,1,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Lucknow Super Giants,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Royal Challengers Bangalore,field,72,28,69,31,3,7,3,2,Lucknow Super Giants,Lucknow Super Giants
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Rajasthan Royals,field,58,42,54,46,6,4,3,5,Delhi Capitals,Delhi Capitals
Lucknow Super Giants,Punjab Kings,M. Chinnaswamy Stadium,Punjab Kings,bat,73,27,68,32,7,3,1,5,Punjab Kings,Punjab Kings
Punjab Kings,Kolkata Knight Riders,M. A. Chidambaram Stadium,Punjab Kings,bat,40,60,56,44,5,5,1,3,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,bat,46,54,53,47,7,3,3,3,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai Indians,Punjab Kings,Rajiv Gandhi International Stadium,Mumbai Indians,bat,79,21,75,25,6,4,4,1,Mumbai Indians,Mumbai Indians
Delhi Capitals,Gujarat Titans,Eden Gardens,Gujarat Titans,field,79,21,43,57,5,5,4,4,Gujarat Titans,Delhi Capitals
Punjab Kings,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,48,52,76,24,7,3,2,4,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Sunrisers Hyderabad,Sawai Mansingh Stadium,Royal Challengers Bangalore,bat,60,40,65,35,6,4,2,5,Royal Challengers Bangalore,Sunrisers Hyderabad
Lucknow Super Giants,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,50,50,54,46,3,7,2,2,Kolkata Knight Riders,Kolkata Knight Riders
Kolkata Knight Riders,Rajasthan Royals,Arun Jaitley Stadium,Kolkata Knight Riders,field,67,33,60,40,4,6,5,3,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,bat,61,39,45,55,7,3,5,3,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai Super Kings,field,50,50,72,28,7,3,3,4,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Lucknow Super Giants,Arun Jaitley Stadium,Sunrisers Hyderabad,field,74,26,61,39,4,6,1,4,Lucknow Super Giants,Lucknow Super Giants
Kolkata Knight Riders,Mumbai Indians,Rajiv Gandhi International Stadium,Kolkata Knight Riders,bat,58,42,41,59,4,6,5,3,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,field,59,41,77,23,3,7,3,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Punjab Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,49,51,61,39,5,5,1,4,Punjab Kings,Punjab Kings
Delhi Capitals,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,67,33,65,35,7,3,5,2,Delhi Capitals,Delhi Capitals
Delhi Capitals,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai Super Kings,bat,59,41,55,45,5,5,5,3,Delhi Capitals,Delhi Capitals
Punjab Kings,Delhi Capitals,Sawai Mansingh Stadium,Punjab Kings,bat,47,53,54,46,7,3,4,4,Delhi Capitals,Punjab Kings
Mumbai Indians,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,field,54,46,76,24,6,4,3,5,Mumbai Indians,Rajasthan Royals
Gujarat Titans,Mumbai Indians,Rajiv Gandhi International Stadium,Gujarat Titans,field,52,48,71,29,6,4,5,2,Gujarat Titans,Gujarat Titans
Mumbai Indians,Rajasthan Royals,Arun Jaitley Stadium,Mumbai Indians,field,77,23,49,51,5,5,4,4,Rajasthan Royals,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,field,51,49,79,21,3,7,2,5,Royal Challengers Bangalore,Kolkata Knight Riders
Delhi Capitals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Delhi Capitals,bat,57,43,55,45,6,4,3,1,Delhi Capitals,Delhi Capitals
Lucknow Super Giants,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,field,67,33,69,31,5,5,4,3,Chennai Super Kings,Chennai Super Kings
Gujarat Titans,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,70,30,68,32,7,3,4,1,Kolkata Knight Riders,Gujarat Titans
Sunrisers Hyderabad,Chennai Super Kings,M. A. Chidambaram Stadium,Sunrisers Hyderabad,field,52,48,56,44,6,4,1,1,Chennai Super Kings,Sunrisers Hyderabad
Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,bat,55,45,41,59,4,6,1,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Punjab Kings,Rajiv Gandhi International Stadium,Punjab Kings,field,70,30,62,38,6,4,1,1,Punjab Kings,Punjab Kings
Lucknow Super Giants,Punjab Kings,Wankhede Stadium,Punjab Kings,field,66,34,51,49,3,7,3,2,Punjab Kings,Punjab Kings
Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,77,23,76,24,7,3,3,1,Delhi Capitals,Delhi Capitals
Lucknow Super Giants,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,67,33,41,59,7,3,3,4,Lucknow Super Giants,Lucknow Super Giants
Rajasthan Royals,Punjab Kings,M. A. Chidambaram Stadium,Punjab Kings,bat,79,21,67,33,3,7,2,2,Rajasthan Royals,Rajasthan Royals
Delhi Capitals,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,bat,63,37,53,47,7,3,1,2,Gujarat Titans,Gujarat Titans
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,65,35,73,27,4,6,4,4,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,Rajiv Gandhi International Stadium,Kolkata Knight Riders,field,61,39,60,40,7,3,1,4,Rajasthan Royals,Rajasthan Royals
Lucknow Super Giants,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,bat,62,38,43,57,5,5,2,5,Lucknow Super Giants,Lucknow Super Giants
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,76,24,77,23,7,3,5,1,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Punjab Kings,M. A. Chidambaram Stadium,Punjab Kings,bat,78,22,70,30,4,6,5,2,Punjab Kings,Punjab Kings
Kolkata Knight Riders,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,bat,54,46,56,44,5,5,5,1,Chennai Super Kings,Kolkata Knight Riders
Chennai Super Kings,Kolkata Knight Riders,Sawai Mansingh Stadium,Chennai Super Kings,field,74,26,45,55,7,3,2,1,Kolkata Knight Riders,Chennai Super Kings
Gujarat Titans,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,46,54,54,46,5,5,3,4,Gujarat Titans,Delhi Capitals
Punjab Kings,Chennai Super Kings,Wankhede Stadium,Punjab Kings,field,75,25,52,48,4,6,5,4,Punjab Kings,Punjab Kings
Kolkata Knight Riders,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,field,78,22,55,45,5,5,2,2,Lucknow Super Giants,Lucknow Super Giants
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Kolkata Knight Riders,bat,45,55,71,29,4,6,2,2,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,Rajasthan Royals,bat,44,56,71,29,5,5,1,4,Lucknow Super Giants,Lucknow Super Giants
Punjab Kings,Gujarat Titans,Wankhede Stadium,Punjab Kings,bat,49,51,58,42,7,3,5,4,Punjab Kings,Punjab Kings
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals,bat,64,36,53,47,5,5,4,2,Royal Challengers Bangalore,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,M. A. Chidambaram Stadium,Rajasthan Royals,bat,50,50,55,45,3,7,3,2,Royal Challengers Bangalore,Rajasthan Royals
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,field,46,54,79,21,6,4,4,5,Rajasthan Royals,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians,bat,69,31,62,38,4,6,5,4,Mumbai Indians,Mumbai Indians
Punjab Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,59,41,64,36,6,4,2,2,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Lucknow Super Giants,Rajiv Gandhi International Stadium,Mumbai Indians,field,48,52,78,22,5,5,3,4,Mumbai Indians,Lucknow Super Giants
Punjab Kings,Delhi Capitals,Rajiv Gandhi International Stadium,Punjab Kings,field,73,27,52,48,4,6,1,2,Punjab Kings,Punjab Kings
Mumbai Indians,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Sunrisers Hyderabad,field,56,44,71,29,7,3,3,1,Sunrisers Hyderabad,Mumbai Indians
Punjab Kings,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,field,63,37,43,57,6,4,3,2,Lucknow Super Giants,Punjab Kings
Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,field,66,34,55,45,4,6,2,1,Royal Challengers Bangalore,Royal Challengers Bangalore
Punjab Kings,Rajasthan Royals,Rajiv Gandhi International Stadium,Rajasthan Royals,field,66,34,41,59,3,7,2,5,Punjab Kings,Rajasthan Royals
Mumbai Indians,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,field,61,39,45,55,6,4,5,4,Mumbai Indians,Royal Challengers Bangalore
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,53,47,78,22,6,4,1,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Lucknow Super Giants,Eden Gardens,Chennai Super Kings,field,58,42,62,38,7,3,3,4,Chennai Super Kings,Chennai Super Kings
Lucknow Super Giants,Sunrisers Hyderabad,Sawai Mansingh Stadium,Lucknow Super Giants,field,62,38,71,29,5,5,3,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Punjab Kings,Eden Gardens,Royal Challengers Bangalore,bat,74,26,44,56,5,5,4,4,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Chennai Super Kings,field,67,33,61,39,5,5,3,4,Chennai Super Kings,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Arun Jaitley Stadium,Chennai Super Kings,field,66,34,50,50,4,6,3,3,Chennai Super Kings,Chennai Super Kings
Punjab Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,77,23,51,49,5,5,3,5,Punjab Kings,Punjab Kings
Chennai Super Kings,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,67,33,62,38,7,3,2,4,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,field,68,32,54,46,3,7,3,2,Sunrisers Hyderabad,Rajasthan Royals
Kolkata Knight Riders,Gujarat Titans,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,49,51,49,51,3,7,5,2,Gujarat Titans,Gujarat Titans
Delhi Capitals,Lucknow Super Giants,Wankhede Stadium,Delhi Capitals,field,48,52,74,26,7,3,3,4,Delhi Capitals,Delhi Capitals
Lucknow Super Giants,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians,bat,56,44,78,22,4,6,1,4,Mumbai Indians,Mumbai Indians
Punjab Kings,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,bat,45,55,45,55,6,4,3,5,Lucknow Super Giants,Lucknow Super Giants
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,78,22,57,43,5,5,3,2,Chennai Super Kings,Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,45,55,64,36,3,7,5,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata Knight Riders,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,71,29,49,51,5,5,2,5,Lucknow Super Giants,Lucknow Super Giants
Chennai Super Kings,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,bat,59,41,43,57,5,5,5,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata Knight Riders,Royal Challengers Bangalore,Wankhede Stadium,Kolkata Knight Riders,field,40,60,49,51,5,5,1,1,Kolkata Knight Riders,Kolkata Knight Riders
Lucknow Super Giants,Chennai Super Kings,Arun Jaitley Stadium,Lucknow Super Giants,bat,53,47,67,33,4,6,3,4,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,M. A. Chidambaram Stadium,Rajasthan Royals,bat,65,35,47,53,7,3,5,5,Rajasthan Royals,Royal Challengers Bangalore
Punjab Kings,Mumbai Indians,Sawai Mansingh Stadium,Punjab Kings,bat,74,26,78,22,7,3,2,5,Mumbai Indians,Mumbai Indians
Mumbai Indians,Rajasthan Royals,Rajiv Gandhi International Stadium,Rajasthan Royals,bat,72,28,58,42,6,4,3,4,Mumbai Indians,Mumbai Indians
Mumbai Indians,Gujarat Titans,Rajiv Gandhi International Stadium,Gujarat Titans,bat,47,53,61,39,7,3,2,5,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,bat,78,22,62,38,5,5,5,4,Mumbai Indians,Kolkata Knight Riders
Chennai Super Kings,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,field,52,48,62,38,6,4,5,5,Lucknow Super Giants,Lucknow Super Giants
Kolkata Knight Riders,Delhi Capitals,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,41,59,79,21,5,5,5,3,Delhi Capitals,Delhi Capitals
Lucknow Super Giants,Punjab Kings,M. A. Chidambaram Stadium,Lucknow Super Giants,field,73,27,68,32,5,5,3,1,Lucknow Super Giants,Lucknow Super Giants
Rajasthan Royals,Lucknow Super Giants,Arun Jaitley Stadium,Rajasthan Royals,field,45,55,71,29,3,7,3,2,Rajasthan Royals,Lucknow Super Giants
Royal Challengers Bangalore,Chennai Super Kings,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,field,54,46,74,26,3,7,4,5,Chennai Super Kings,Chennai Super Kings
Gujarat Titans,Punjab Kings,Eden Gardens,Punjab Kings,bat,48,52,69,31,7,3,3,3,Gujarat Titans,Punjab Kings
Mumbai Indians,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,bat,62,38,68,32,4,6,3,5,Mumbai Indians,Punjab Kings
Punjab Kings,Mumbai Indians,M. A. Chidambaram Stadium,Punjab Kings,field,50,50,59,41,7,3,3,3,Mumbai Indians,Punjab Kings
Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,Chennai Super Kings,bat,77,23,75,25,5,5,1,1,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Gujarat Titans,M. A. Chidambaram Stadium,Gujarat Titans,field,64,36,45,55,4,6,5,1,Gujarat Titans,Gujarat Titans
Mumbai Indians,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,field,78,22,69,31,5,5,3,4,Sunrisers Hyderabad,Sunrisers Hyderabad
Lucknow Super Giants,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,66,34,40,60,5,5,4,1,Lucknow Super Giants,Lucknow Super Giants
Gujarat Titans,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,field,74,26,53,47,7,3,5,1,Chennai Super Kings,Gujarat Titans
Mumbai Indians,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,bat,42,58,52,48,3,7,2,5,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Royal Challengers Bangalore,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,70,30,64,36,5,5,2,1,Royal Challengers Bangalore,Royal Challengers Bangalore
Lucknow Super Giants,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants,bat,56,44,55,45,4,6,2,4,Lucknow Super Giants,Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,Lucknow Super Giants,field,41,59,48,52,5,5,4,2,Chennai Super Kings,Lucknow Super Giants
Punjab Kings,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,67,33,75,25,6,4,2,2,Gujarat Titans,Gujarat Titans
Kolkata Knight Riders,Lucknow Super Giants,Wankhede Stadium,Kolkata Knight Riders,field,62,38,69,31,4,6,2,2,Lucknow Super Giants,Lucknow Super Giants
Royal Challengers Bangalore,Rajasthan Royals,Rajiv Gandhi International Stadium,Rajasthan Royals,bat,68,32,60,40,4,6,1,3,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,Mumbai Indians,bat,73,27,40,60,4,6,2,1,Sunrisers Hyderabad,Mumbai Indians
Gujarat Titans,Rajasthan Royals,M. A. Chidambaram Stadium,Gujarat Titans,bat,60,40,68,32,7,3,1,3,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,Rajasthan Royals,bat,46,54,46,54,6,4,2,5,Lucknow Super Giants,Lucknow Super Giants
Kolkata Knight Riders,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,field,40,60,45,55,5,5,2,5,Lucknow Super Giants,Lucknow Super Giants
Kolkata Knight Riders,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,field,68,32,65,35,5,5,3,5,Lucknow Super Giants,Lucknow Super Giants
Royal Challengers Bangalore,Gujarat Titans,M. A. Chidambaram Stadium,Royal Challengers Bangalore,field,73,27,69,31,6,4,5,4,Gujarat Titans,Royal Challengers Bangalore
Rajasthan Royals,Chennai Super Kings,Arun Jaitley Stadium,Rajasthan Royals,field,41,59,75,25,4,6,5,1,Rajasthan Royals,Rajasthan Royals
